#Selection name: Selection 3
#Area (µm^2): 2546.05
"#Panel genes not included: "
Gene,Count,Density (µm^-2)
ABCC11,0,0
ACE2,0,0
ACKR1,0,0
ACTA2,2,0.0007855299358510741
ACTG2,39,0.015317833749095946
ADAM28,0,0
ADAMTS1,1,0.00039276496792553707
ADGRE1,0,0
ADGRL4,0,0
ADH1C,0,0
ADH4,0,0
ADIPOQ,0,0
AGER,0,0
AGR3,1,0.00039276496792553707
AHSP,0,0
AIF1,0,0
ALAS2,0,0
ALDH1A3,0,0
AMY2A,3,0.0011782949037766114
ANGPT2,0,0
ANPEP,0,0
APCDD1,0,0
APOA5,0,0
APOBEC3A,0,0
APOLD1,0,0
AQP2,0,0
AQP3,0,0
AQP8,0,0
AQP9,0,0
AR,3,0.0011782949037766114
ARFGEF3,0,0
ASCL1,0,0
ASCL3,0,0
ASPN,0,0
BAMBI,0,0
BANK1,0,0
BASP1,0,0
BBOX1,0,0
BCL2L11,4,0.0015710598717021483
BMX,0,0
BTNL9,1,0.00039276496792553707
C15orf48,0,0
C1orf162,1,0.00039276496792553707
C1orf194,0,0
C20orf85,0,0
C5orf46,0,0
C6orf118,0,0
C7,0,0
CA4,0,0
CAPN8,0,0
CAV1,0,0
CAVIN1,4,0.0015710598717021483
CAVIN2,0,0
CCDC39,0,0
CCDC78,0,0
CCL19,0,0
CCL27,0,0
CCL5,0,0
CCNB2,0,0
CCR2,0,0
CCR7,0,0
CD14,0,0
CD163,0,0
CD19,0,0
CD1A,0,0
CD1C,0,0
CD1E,0,0
CD2,0,0
CD247,0,0
CD27,0,0
CD274,0,0
CD28,0,0
CD300E,0,0
CD34,0,0
CD3D,0,0
CD3E,0,0
CD4,0,0
CD5L,0,0
CD68,0,0
CD69,0,0
CD70,0,0
CD79A,0,0
CD83,0,0
CD86,0,0
CD8A,0,0
CD93,0,0
CDH16,0,0
CDK1,0,0
CENPF,0,0
CFAP53,2,0.0007855299358510741
CFB,0,0
CFHR1,0,0
CFHR3,0,0
CFTR,0,0
CHGA,0,0
CLCA1,0,0
CLCA2,0,0
CLEC10A,0,0
CLEC14A,0,0
CLEC4E,0,0
CLECL1,0,0
CLIC6,0,0
CNN1,0,0
COCH,0,0
COL17A1,0,0
COL5A2,0,0
CPA3,1,0.00039276496792553707
CRHBP,0,0
CRISPLD2,0,0
CSF2RA,0,0
CSF3,0,0
CTLA4,0,0
CTSG,0,0
CTSK,0,0
CXCL10,0,0
CXCL2,1,0.00039276496792553707
CXCL6,0,0
CXCL9,0,0
CXCR4,0,0
CYP1A1,0,0
CYP2A7,0,0
CYP2B6,0,0
CYP2F1,0,0
CYP3A4,0,0
CYP4B1,0,0
CYTIP,0,0
DERL3,0,0
DES,453,0.1779225304702683
DIRAS3,0,0
DMBT1,0,0
DNAAF1,0,0
DNASE1L3,0,0
DPEP1,0,0
DPT,0,0
DST,16,0.006284239486808593
DUSP2,1,0.00039276496792553707
ECSCR,0,0
EDN1,0,0
EDNRB,0,0
EGFL7,0,0
EGFR,1,0.00039276496792553707
EHF,0,0
ELF5,0,0
EPCAM,0,0
ERBB2,1,0.00039276496792553707
ERG,0,0
ESR1,0,0
FAS,0,0
FBLN1,0,0
FBN1,0,0
FCER1A,0,0
FCGR1A,0,0
FCGR3A,0,0
FCN1,0,0
FCN2,0,0
FGFBP1,0,0
FGFBP2,0,0
FGL2,0,0
FHL2,3,0.0011782949037766114
FKBP11,0,0
FOXA1,0,0
FOXI1,0,0
FOXJ1,0,0
